day,time,house1,house2
7,SMAPV3003,0.163,0.244
7,SMAPV3004,0.144,0.194
7,SMAPV3005,0.169,0.213
7,SMAPV3006,0.138,0.213
7,SMAPV3007,0.163,0.188
7,SMAPV3008,0.144,0.194
7,SMAPV3009,0.163,0.181
7,SMAPV3010,0.119,0.194
7,SMAPV3011,0.138,0.175
7,SMAPV3012,0.363,0.45
7,SMAPV3013,0.388,0.5
7,SMAPV3014,0.219,1.769
7,SMAPV3015,0.35,1.713
7,SMAPV3016,0.231,1.206
7,SMAPV3017,0.1,1.375
7,SMAPV3018,0.144,1.056
7,SMAPV3019,0.075,1.15
7,SMAPV3020,0.163,2.65
7,SMAPV3021,0.094,2.638
7,SMAPV3022,0.181,2.269
7,SMAPV3023,0.125,2.038
7,SMAPV3024,0.169,2.063
7,SMAPV3025,0.063,1.05
7,SMAPV3026,0.169,0.681
7,SMAPV3027,0.075,0.525
7,SMAPV3028,0.163,0.525
7,SMAPV3029,0.075,0.819
7,SMAPV3030,0.163,0.994
7,SMAPV3031,0.425,1.619
7,SMAPV3032,1.531,1.081
7,SMAPV3033,1.45,1.05
7,SMAPV3034,1.525,0.894
7,SMAPV3035,1.488,0.819
7,SMAPV3036,2.119,0.563
7,SMAPV3037,0.713,0.375
7,SMAPV3038,0.319,0.413
7,SMAPV3039,0.431,0.394
7,SMAPV3040,0.275,0.413
7,SMAPV3041,0.244,0.469
7,SMAPV3042,0.269,0.45
7,SMAPV3043,0.225,0.269
7,SMAPV3044,0.213,0.244
7,SMAPV3045,0.144,0.231
7,SMAPV3046,0.156,0.219
7,SMAPV3047,0.175,0.219
7,SMAPV3048,0.106,0.213
8,SMAPV3001,0.125,0.219
8,SMAPV3002,0.125,0.206
8,SMAPV3003,0.094,0.213
8,SMAPV3004,0.138,0.238
8,SMAPV3005,0.088,0.225
8,SMAPV3006,0.144,0.2
8,SMAPV3007,0.075,0.175
8,SMAPV3008,0.138,0.169
8,SMAPV3009,0.094,0.175
8,SMAPV3010,0.106,0.417
8,SMAPV3011,0.119,0.417
8,SMAPV3012,0.113,0.417
8,SMAPV3013,0.088,0.417
8,SMAPV3014,0.125,0.417
8,SMAPV3015,0.338,0.417
8,SMAPV3016,0.256,0.417
8,SMAPV3017,0.331,0.417
8,SMAPV3018,0.231,0.417
8,SMAPV3019,0.181,0.417
8,SMAPV3020,0.163,0.417
8,SMAPV3021,0.113,0.417
8,SMAPV3022,0.269,0.417
8,SMAPV3023,0.256,0.417
8,SMAPV3024,0.3,0.417
8,SMAPV3025,0.256,0.417
8,SMAPV3026,0.238,0.417
8,SMAPV3027,0.131,0.417
8,SMAPV3028,0.394,0.417
8,SMAPV3029,0.431,0.417
8,SMAPV3030,0.244,0.417
8,SMAPV3031,0.256,0.417
8,SMAPV3032,0.219,0.417
8,SMAPV3033,0.2,0.417
8,SMAPV3034,0.1,0.417
8,SMAPV3035,0.338,0.417
8,SMAPV3036,0.25,0.417
8,SMAPV3037,0.281,0.417
8,SMAPV3038,0.181,0.417
8,SMAPV3039,0.256,0.417
8,SMAPV3040,0.294,0.417
8,SMAPV3041,0.206,0.417
8,SMAPV3042,0.219,0.417
8,SMAPV3043,0.219,0.417
8,SMAPV3044,0.219,0.417
8,SMAPV3045,0.125,0.417
8,SMAPV3046,0.119,0.417
8,SMAPV3047,0.131,0.417
8,SMAPV3048,0.1,0.417
9,SMAPV3001,0.119,0.417
9,SMAPV3002,0.106,0.417
9,SMAPV3003,0.1,0.417
9,SMAPV3004,0.15,0.417
9,SMAPV3005,0.131,0.417
9,SMAPV3006,0.138,0.417
9,SMAPV3007,0.119,0.417
9,SMAPV3008,0.088,0.417
9,SMAPV3009,0.125,0.417
9,SMAPV3010,0.075,0.417
9,SMAPV3011,0.119,0.417
9,SMAPV3012,0.1,0.417
9,SMAPV3013,0.1,0.417
9,SMAPV3014,0.388,0.417
9,SMAPV3015,0.256,0.417
9,SMAPV3016,0.219,0.417
9,SMAPV3017,0.225,0.417
9,SMAPV3018,0.125,0.417
9,SMAPV3019,0.269,0.417
9,SMAPV3020,0.269,0.417
9,SMAPV3021,0.506,0.417
9,SMAPV3022,0.431,0.417
9,SMAPV3023,0.394,0.417
9,SMAPV3024,0.619,0.417
9,SMAPV3025,0.1,0.417
9,SMAPV3026,0.131,0.417
9,SMAPV3027,0.069,0.417
9,SMAPV3028,0.138,0.417
9,SMAPV3029,0.075,0.417
9,SMAPV3030,0.125,0.417
9,SMAPV3031,0.119,0.417
9,SMAPV3032,0.244,0.417
9,SMAPV3033,0.319,0.417
9,SMAPV3034,0.3,0.417
9,SMAPV3035,0.244,0.417
9,SMAPV3036,0.313,0.417
9,SMAPV3037,0.413,0.417
9,SMAPV3038,0.338,0.417
9,SMAPV3039,0.388,0.417
9,SMAPV3040,0.2,0.417
9,SMAPV3041,0.281,0.417
9,SMAPV3042,0.331,0.417
9,SMAPV3043,0.319,0.417
9,SMAPV3044,0.263,0.417
9,SMAPV3045,0.319,0.417
9,SMAPV3046,0.275,0.417
9,SMAPV3047,0.181,0.417
9,SMAPV3048,0.088,0.417
10,SMAPV3001,0.15,0.417
10,SMAPV3002,0.069,0.417
10,SMAPV3003,0.15,0.417
10,SMAPV3004,0.075,0.417
10,SMAPV3005,0.125,0.417
10,SMAPV3006,0.094,0.417
10,SMAPV3007,0.113,0.417
10,SMAPV3008,0.094,0.417
10,SMAPV3009,0.125,0.417
10,SMAPV3010,0.094,0.417
10,SMAPV3011,0.1,0.417
10,SMAPV3012,0.119,0.417
10,SMAPV3013,0.156,0.417
10,SMAPV3014,0.313,0.417
10,SMAPV3015,0.256,0.417
10,SMAPV3016,0.25,0.417
10,SMAPV3017,0.219,0.417
10,SMAPV3018,0.269,0.417
10,SMAPV3019,0.319,0.417
10,SMAPV3020,0.256,0.417
10,SMAPV3021,0.213,0.417
10,SMAPV3022,0.156,0.417
10,SMAPV3023,0.131,0.417
10,SMAPV3024,0.35,0.417
10,SMAPV3025,0.163,0.417
10,SMAPV3026,0.25,0.417
10,SMAPV3027,0.213,0.417
10,SMAPV3028,0.25,0.417
10,SMAPV3029,0.231,0.417
10,SMAPV3030,0.181,0.417
10,SMAPV3031,0.206,0.417
10,SMAPV3032,0.144,0.417
10,SMAPV3033,0.231,0.417
10,SMAPV3034,0.15,0.417
10,SMAPV3035,0.244,0.417
10,SMAPV3036,1.15,0.417
10,SMAPV3037,0.513,0.417
10,SMAPV3038,0.3,0.417
10,SMAPV3039,0.288,0.417
10,SMAPV3040,0.338,0.417
10,SMAPV3041,0.35,0.417
10,SMAPV3042,0.394,0.417
10,SMAPV3043,0.413,0.417
10,SMAPV3044,0.231,0.417
10,SMAPV3045,0.144,0.417
10,SMAPV3046,0.106,0.417
10,SMAPV3047,0.144,0.417
10,SMAPV3048,0.125,0.417
11,SMAPV3001,0.156,0.417
11,SMAPV3002,0.2,0.417
11,SMAPV3003,0.131,0.417
11,SMAPV3004,0.144,0.417
11,SMAPV3005,0.1,0.417
11,SMAPV3006,0.15,0.417
11,SMAPV3007,0.094,0.417
11,SMAPV3008,0.144,0.417
11,SMAPV3009,0.069,0.417
11,SMAPV3010,0.15,0.417
11,SMAPV3011,0.094,0.417
11,SMAPV3012,0.131,0.417
11,SMAPV3013,0.369,0.417
11,SMAPV3014,0.3,0.417
11,SMAPV3015,0.175,0.417
11,SMAPV3016,0.463,0.417
11,SMAPV3017,0.25,0.417
11,SMAPV3018,0.206,0.417
11,SMAPV3019,0.144,0.417
11,SMAPV3020,0.15,0.417
11,SMAPV3021,0.075,0.417
11,SMAPV3022,0.169,0.417
11,SMAPV3023,0.119,0.417
11,SMAPV3024,0.288,0.417
11,SMAPV3025,0.256,0.417
11,SMAPV3026,0.238,0.417
11,SMAPV3027,0.856,0.417
11,SMAPV3028,1.794,0.417
11,SMAPV3029,1.656,0.417
11,SMAPV3030,2.156,0.417
11,SMAPV3031,1.819,0.417
11,SMAPV3032,1.563,0.417
11,SMAPV3033,1.525,0.417
11,SMAPV3034,1.55,0.417
11,SMAPV3035,1.538,0.417
11,SMAPV3036,1.981,0.417
11,SMAPV3037,2.081,0.417
11,SMAPV3038,1.681,0.417
